"layer_id","eov_id","short_name"
327,2,"Zooplankton"
327,3,"Fish"
327,7,"Hard coral"
327,12,"Invertebrates"
429,1,"Phytoplankton"
429,11,"Microbes"
307,1,"Phytoplankton"
307,2,"Zooplankton"
307,3,"Fish"
307,4,"Turtles"
307,5,"Birds"
307,6,"Mammals"
307,7,"Hard coral"
598,1,"Phytoplankton"
598,2,"Zooplankton"
598,5,"Birds"
598,6,"Mammals"
244,3,"Fish"
244,6,"Mammals"
56,2,"Zooplankton"
56,3,"Fish"
279,6,"Mammals"
449,6,"Mammals"
401,12,"Invertebrates"
479,7,"Hard coral"
112,5,"Birds"
112,6,"Mammals"
112,9,"Macroalgae"
112,12,"Invertebrates"
576,12,"Invertebrates"
316,1,"Phytoplankton"
316,2,"Zooplankton"
316,11,"Microbes"
405,1,"Phytoplankton"
405,2,"Zooplankton"
405,12,"Invertebrates"
192,1,"Phytoplankton"
192,2,"Zooplankton"
192,6,"Mammals"
47,6,"Mammals"
446,6,"Mammals"
216,12,"Invertebrates"
151,1,"Phytoplankton"
151,2,"Zooplankton"
92,2,"Zooplankton"
377,2,"Zooplankton"
377,3,"Fish"
377,5,"Birds"
377,6,"Mammals"
596,4,"Turtles"
596,6,"Mammals"
396,1,"Phytoplankton"
396,2,"Zooplankton"
275,3,"Fish"
275,9,"Macroalgae"
275,12,"Invertebrates"
218,6,"Mammals"
525,1,"Phytoplankton"
525,2,"Zooplankton"
525,3,"Fish"
525,5,"Birds"
525,6,"Mammals"
525,12,"Invertebrates"
60,1,"Phytoplankton"
60,3,"Fish"
60,6,"Mammals"
60,7,"Hard coral"
60,9,"Macroalgae"
60,11,"Microbes"
60,12,"Invertebrates"
552,1,"Phytoplankton"
552,2,"Zooplankton"
552,3,"Fish"
552,4,"Turtles"
552,5,"Birds"
552,6,"Mammals"
552,7,"Hard coral"
552,8,"Seagrass"
552,9,"Macroalgae"
552,11,"Microbes"
552,12,"Invertebrates"
530,1,"Phytoplankton"
214,3,"Fish"
214,5,"Birds"
214,8,"Seagrass"
214,9,"Macroalgae"
536,1,"Phytoplankton"
293,1,"Phytoplankton"
293,8,"Seagrass"
293,9,"Macroalgae"
293,12,"Invertebrates"
37,3,"Fish"
37,7,"Hard coral"
37,9,"Macroalgae"
524,3,"Fish"
524,7,"Hard coral"
524,12,"Invertebrates"
27,1,"Phytoplankton"
27,2,"Zooplankton"
27,11,"Microbes"
27,12,"Invertebrates"
281,2,"Zooplankton"
281,3,"Fish"
281,5,"Birds"
281,6,"Mammals"
57,1,"Phytoplankton"
57,2,"Zooplankton"
57,6,"Mammals"
134,2,"Zooplankton"
499,2,"Zooplankton"
499,3,"Fish"
499,5,"Birds"
499,6,"Mammals"
499,12,"Invertebrates"
269,2,"Zooplankton"
355,1,"Phytoplankton"
355,2,"Zooplankton"
355,3,"Fish"
30,1,"Phytoplankton"
30,2,"Zooplankton"
30,11,"Microbes"
411,1,"Phytoplankton"
411,2,"Zooplankton"
411,12,"Invertebrates"
356,1,"Phytoplankton"
189,1,"Phytoplankton"
225,1,"Phytoplankton"
520,1,"Phytoplankton"
130,1,"Phytoplankton"
130,4,"Turtles"
512,5,"Birds"
546,2,"Zooplankton"
546,3,"Fish"
546,5,"Birds"
546,6,"Mammals"
546,8,"Seagrass"
546,11,"Microbes"
501,6,"Mammals"
583,4,"Turtles"
249,12,"Invertebrates"
188,2,"Zooplankton"
85,1,"Phytoplankton"
85,11,"Microbes"
484,1,"Phytoplankton"
484,2,"Zooplankton"
484,11,"Microbes"
481,1,"Phytoplankton"
289,1,"Phytoplankton"
289,11,"Microbes"
133,1,"Phytoplankton"
133,11,"Microbes"
210,1,"Phytoplankton"
210,11,"Microbes"
181,1,"Phytoplankton"
181,11,"Microbes"
232,1,"Phytoplankton"
232,11,"Microbes"
101,1,"Phytoplankton"
101,11,"Microbes"
273,1,"Phytoplankton"
273,11,"Microbes"
353,1,"Phytoplankton"
353,11,"Microbes"
366,1,"Phytoplankton"
366,11,"Microbes"
348,1,"Phytoplankton"
348,11,"Microbes"
422,1,"Phytoplankton"
422,2,"Zooplankton"
422,3,"Fish"
422,5,"Birds"
422,6,"Mammals"
422,11,"Microbes"
422,12,"Invertebrates"
503,1,"Phytoplankton"
503,8,"Seagrass"
503,9,"Macroalgae"
503,12,"Invertebrates"
482,9,"Macroalgae"
482,12,"Invertebrates"
383,1,"Phytoplankton"
383,2,"Zooplankton"
383,3,"Fish"
472,5,"Birds"
588,3,"Fish"
483,3,"Fish"
406,3,"Fish"
64,3,"Fish"
185,3,"Fish"
185,4,"Turtles"
185,5,"Birds"
185,6,"Mammals"
402,4,"Turtles"
402,6,"Mammals"
146,1,"Phytoplankton"
146,2,"Zooplankton"
146,3,"Fish"
146,4,"Turtles"
146,5,"Birds"
146,6,"Mammals"
146,9,"Macroalgae"
77,5,"Birds"
55,3,"Fish"
138,3,"Fish"
125,12,"Invertebrates"
328,2,"Zooplankton"
548,1,"Phytoplankton"
173,1,"Phytoplankton"
149,1,"Phytoplankton"
149,7,"Hard coral"
149,11,"Microbes"
149,12,"Invertebrates"
255,3,"Fish"
255,12,"Invertebrates"
68,1,"Phytoplankton"
68,2,"Zooplankton"
68,11,"Microbes"
