Network Name,Latitude,Longitude,EOVs sampled,Date start sampled,Date end sampled,sampling site name,Original Order
OTN,44.54,-67.87,NA,5/21/15,10/26/15,NGSW,5075
OTN,44.52,-67.86,NA,5/21/15,10/26/15,NGLP,6552
OTN,47.81,-67.74,NA,5/23/06,10/5/06,ASF-WYERS POOL-Kedgewick,16611
OTN,46.67,-67.72,NA,7/29/15,10/21/15,Beechwood-Tobique adult 2015,8547
OTN,46.72,-67.72,NA,10/20/15,10/17/16,DS Tobique 2 winter 2015-6,13130
OTN,46.61,-67.71,NA,10/20/15,10/17/16,DS Tobique 4 winter 2015-6,15442
OTN,46.62,-67.71,NA,8/14/14,10/15/14,Beechwood headpond summer 2014,17420
OTN,46.76,-67.7,NA,10/20/15,NA,DS Tobique 1 winter 2015-6,21687
OTN,46.55,-67.69,NA,10/20/15,11/8/16,Beechwood headpond winter 2015-6,10626
OTN,46.79,-67.68,NA,7/29/15,10/20/15,Tobique headpond adult 2015,10397
