dataSource,Latitude,Longitude
eShark_OldOnline,8.14,93.29
eShark_OldOnline,8.18,97.78
eShark_OldOnline,8.18,97.91
eShark_OldOnline,8.18,97.96
eShark_OldOnline,8.18,93.25
eShark_OldOnline,8.22,98.18
eShark_OldOnline,8.22,98.61
eShark_OldOnline,8.22,93.25
eShark_OldOnline,8.22,98.04
eShark_OldOnline,8.22,98.09
eShark_OldOnline,8.26,93.43
eShark_OldOnline,8.26,97.78
eShark_OldOnline,8.26,97.82
eShark_OldOnline,8.26,97.91
eShark_OldOnline,8.26,97.96
eShark_OldOnline,8.26,98
eShark_OldOnline,8.26,98.04
eShark_OldOnline,8.26,98.09
eShark_OldOnline,8.31,97.43
eShark_OldOnline,8.31,97.87
eShark_OldOnline,8.31,97.96
eShark_OldOnline,8.31,98
eShark_OldOnline,8.35,97.69
eShark_OldOnline,8.35,97.87
eShark_OldOnline,8.35,97.91
eShark_OldOnline,8.35,97.96
eShark_OldOnline,8.35,98.09
eShark_OldOnline,8.4,93.17
eShark_OldOnline,8.4,93.3
eShark_OldOnline,8.4,97.08
eShark_OldOnline,8.4,97.69
eShark_OldOnline,8.4,98
eShark_OldOnline,8.44,93.17
eShark_OldOnline,8.44,97.65
eShark_OldOnline,8.44,97.78
eShark_OldOnline,8.44,97.52
eShark_OldOnline,8.44,97.82
eShark_OldOnline,8.44,97.91
eShark_OldOnline,8.44,97.96
eShark_OldOnline,8.48,97.64
eShark_OldOnline,8.49,97.81
eShark_OldOnline,8.49,97.64
eShark_OldOnline,8.5,97.66
eShark_OldOnline,8.5,97.64
eShark_OldOnline,8.5,97.65
eShark_OldOnline,8.51,97.66
eShark_OldOnline,8.51,97.67
eShark_OldOnline,8.53,97.64
eShark_OldOnline,8.53,97.12
eShark_OldOnline,8.53,93.12
eShark_OldOnline,8.53,98.04
eShark_OldOnline,8.53,97.63
eShark_OldOnline,8.54,97.62
eShark_OldOnline,8.55,97.64
eShark_OldOnline,8.55,97.63
eShark_OldOnline,8.55,97.65
eShark_OldOnline,8.55,97.66
eShark_OldOnline,8.55,97.62
eShark_OldOnline,8.55,97.61
eShark_OldOnline,8.56,97.64
eShark_OldOnline,8.56,97.62
eShark_OldOnline,8.56,97.63
eShark_OldOnline,8.56,97.65
eShark_OldOnline,8.56,97.61
eShark_OldOnline,8.57,97.64
eShark_OldOnline,8.57,97.62
eShark_OldOnline,8.57,97.63
eShark_OldOnline,8.57,98.21
eShark_OldOnline,8.57,92.99
eShark_OldOnline,8.57,93.12
eShark_OldOnline,8.57,97.65
eShark_OldOnline,8.57,98
eShark_OldOnline,8.58,97.63
eShark_OldOnline,8.58,97.67
eShark_OldOnline,8.58,97.62
eShark_OldOnline,8.58,97.64
eShark_OldOnline,8.59,97.63
eShark_OldOnline,8.59,97.64
eShark_OldOnline,8.6,97.66
eShark_OldOnline,8.6,97.64
eShark_OldOnline,8.6,97.63
eShark_OldOnline,8.61,97.67
eShark_OldOnline,8.61,93.08
eShark_OldOnline,8.61,97.66
eShark_OldOnline,8.61,98.02
eShark_OldOnline,8.61,97.62
eShark_OldOnline,8.61,97.63
eShark_OldOnline,8.61,97.65
eShark_OldOnline,8.61,97.64
eShark_OldOnline,8.61,97.95
eShark_OldOnline,8.62,97.64
eShark_OldOnline,8.62,97.65
eShark_OldOnline,8.62,97.66
eShark_OldOnline,8.63,97.63
eShark_OldOnline,8.63,98.18
eShark_OldOnline,8.63,97.64
eShark_OldOnline,8.63,97.66
eShark_OldOnline,8.64,97.64
eShark_OldOnline,8.64,97.65
eShark_OldOnline,8.64,98.25
eShark_OldOnline,8.65,97.64
eShark_OldOnline,8.65,97.66
eShark_OldOnline,8.65,97.65
eShark_OldOnline,8.65,97.63
eShark_OldOnline,8.66,97.64
eShark_OldOnline,8.66,97.63
eShark_OldOnline,8.66,97.68
eShark_OldOnline,8.66,97.47
eShark_OldOnline,8.66,98.23
eShark_OldOnline,8.67,97.65
eShark_OldOnline,8.67,97.64
eShark_OldOnline,8.67,97.62
eShark_OldOnline,8.67,97.66
eShark_OldOnline,8.67,97.63
eShark_OldOnline,8.68,97.64
eShark_OldOnline,8.68,97.65
eShark_OldOnline,8.69,97.68
eShark_OldOnline,8.69,97.64
eShark_OldOnline,8.7,96.94
eShark_OldOnline,8.7,97.64
eShark_OldOnline,8.72,97.78
eShark_OldOnline,8.73,98.05
eShark_OldOnline,8.74,97.87
eShark_OldOnline,8.74,97.69
eShark_OldOnline,8.75,97.78
eShark_OldOnline,8.78,98.26
eShark_OldOnline,8.79,97.67
eShark_OldOnline,8.81,97.8
eShark_OldOnline,8.82,97.79
eShark_OldOnline,8.82,97.8
eShark_OldOnline,8.82,97.82
eShark_OldOnline,8.83,97.81
eShark_OldOnline,8.83,97.79
eShark_OldOnline,8.83,97.8
eShark_OldOnline,8.83,98.28
eShark_OldOnline,8.84,97.91
eShark_OldOnline,8.85,97.79
eShark_OldOnline,8.85,97.75
eShark_OldOnline,8.85,97.82
eShark_OldOnline,8.85,97.8
eShark_OldOnline,8.86,98.19
eShark_OldOnline,8.86,97.72
eShark_OldOnline,8.86,97.76
eShark_OldOnline,8.86,97.81
eShark_OldOnline,8.89,97.75
eShark_OldOnline,8.89,97.81
eShark_OldOnline,8.89,97.73
eShark_OldOnline,8.89,97.83
eShark_OldOnline,8.91,97.68
eShark_OldOnline,8.92,97.7
eShark_OldOnline,8.92,97.71
eShark_OldOnline,8.92,96.64
eShark_OldOnline,8.92,97.97
eShark_OldOnline,8.94,97.72
eShark_OldOnline,8.94,97.71
eShark_OldOnline,8.96,98.18
eShark_OldOnline,9.03,97.81
eShark_OldOnline,9.03,97.76
eShark_OldOnline,9.04,97.82
eShark_OldOnline,9.04,97.81
eShark_OldOnline,9.05,97.81
eShark_OldOnline,9.05,97.8
eShark_OldOnline,9.05,97.82
eShark_OldOnline,9.06,97.81
eShark_OldOnline,9.06,97.82
eShark_OldOnline,9.06,97.79
eShark_OldOnline,9.06,98.09
eShark_OldOnline,9.06,98.15
eShark_OldOnline,9.06,98.14
eShark_OldOnline,9.06,98.1
eShark_OldOnline,9.06,97.8
eShark_OldOnline,9.07,98.06
eShark_OldOnline,9.07,98.16
eShark_OldOnline,9.07,98.1
eShark_OldOnline,9.07,98.14
eShark_OldOnline,9.07,98.13
eShark_OldOnline,9.07,97.8
eShark_OldOnline,9.07,97.82
eShark_OldOnline,9.07,97.81
eShark_OldOnline,9.07,98.08
eShark_OldOnline,9.07,98.24
eShark_OldOnline,9.08,97.8
eShark_OldOnline,9.08,97.81
eShark_OldOnline,9.08,97.82
eShark_OldOnline,9.08,98.08
eShark_OldOnline,9.09,97.79
eShark_OldOnline,9.09,97.81
eShark_OldOnline,9.09,98.23
eShark_OldOnline,9.09,97.87
eShark_OldOnline,9.09,98.22
eShark_OldOnline,9.1,98.16
eShark_OldOnline,9.1,98.23
eShark_OldOnline,9.1,98.24
eShark_OldOnline,9.1,98.22
eShark_OldOnline,9.11,98.11
eShark_OldOnline,9.11,97.96
eShark_OldOnline,9.11,98.13
eShark_OldOnline,9.11,98.16
eShark_OldOnline,9.11,98.24
eShark_OldOnline,9.11,98.15
eShark_OldOnline,9.11,98.25
eShark_OldOnline,9.11,98.23
eShark_OldOnline,9.11,98.22
eShark_OldOnline,9.11,98.01
eShark_OldOnline,9.12,98.13
eShark_OldOnline,9.12,98.25
eShark_OldOnline,9.12,98.17
eShark_OldOnline,9.12,98.24
eShark_OldOnline,9.12,98.14
eShark_OldOnline,9.12,98.18
eShark_OldOnline,9.12,98.23
eShark_OldOnline,9.12,98.06
eShark_OldOnline,9.12,98.08
eShark_OldOnline,9.13,98.25
eShark_OldOnline,9.13,98.05
eShark_OldOnline,9.13,98.11
eShark_OldOnline,9.13,98.24
eShark_OldOnline,9.13,98.01
eShark_OldOnline,9.13,98.22
eShark_OldOnline,9.14,98.14
eShark_OldOnline,9.14,98.25
eShark_OldOnline,9.14,98.26
eShark_OldOnline,9.14,98.08
eShark_OldOnline,9.14,97.68
eShark_OldOnline,9.15,98.26
eShark_OldOnline,9.15,98.24
eShark_OldOnline,9.15,98.13
eShark_OldOnline,9.15,98.05
eShark_OldOnline,9.16,98.18
