Longitude_orig,"E,W",Latitude_orig,"N,S",Longitude,Latitude
141.223,E,37.235,N,141.22,37.23
141.223,E,38.234,N,141.22,38.23
141.225,E,38.219,N,141.22,38.22
141.227,E,38.216,N,141.23,38.22
141.233,E,38.317,N,141.23,38.32
141.233,E,38.233,N,141.23,38.23
141.243,E,36,N,141.24,36
141.249,E,37.993,N,141.25,37.99
141.25,E,37.658,N,141.25,37.66
141.25,E,38,N,141.25,38
141.25,E,35.703,N,141.25,35.7
141.25,E,37.42,N,141.25,37.42
141.25,E,36,N,141.25,36
141.25,E,36.32,N,141.25,36.32
141.25,E,35.75,N,141.25,35.75
141.25,E,36.25,N,141.25,36.25
141.25,E,36.75,N,141.25,36.75
141.25,E,35.5,N,141.25,35.5
141.261,E,38.065,N,141.26,38.06
141.262,E,37.934,N,141.26,37.93
141.267,E,35.762,N,141.27,35.76
141.267,E,34.75,N,141.27,34.75
141.298,E,38.049,N,141.3,38.05
141.3,E,38.317,N,141.3,38.32
141.3,E,37.95,N,141.3,37.95
141.3,E,37.94,N,141.3,37.94
141.303,E,37.963,N,141.3,37.96
141.313,E,37.976,N,141.31,37.98
141.316,E,37.975,N,141.32,37.98
141.316,E,37.974,N,141.32,37.97
141.321,E,38.199,N,141.32,38.2
141.33,E,35.38,N,141.33,35.38
141.33,E,37.85,N,141.33,37.85
141.333,E,41.817,N,141.33,41.82
141.333,E,38.233,N,141.33,38.23
141.34,E,37.84,N,141.34,37.84
141.346,E,37.965,N,141.35,37.97
141.347,E,38.032,N,141.35,38.03
141.35,E,42,N,141.35,42
141.37,E,35.74,N,141.37,35.74
141.373,E,38.185,N,141.37,38.19
141.383,E,38.016,N,141.38,38.02
141.383,E,37.959,N,141.38,37.96
141.39,E,38.16,N,141.39,38.16
141.39,E,36.89,N,141.39,36.89
141.396,E,37.942,N,141.4,37.94
141.4,E,37,N,141.4,37
141.4,E,37.83,N,141.4,37.83
141.4,E,35.33,N,141.4,35.33
141.401,E,38.13,N,141.4,38.13
141.403,E,30.945,N,141.4,30.95
141.416,E,36.996,N,141.42,37
141.42,E,38.16,N,141.42,38.16
141.42,E,36.99,N,141.42,36.99
141.43,E,38.17,N,141.43,38.17
141.43,E,38.19,N,141.43,38.19
141.431,E,38.176,N,141.43,38.18
141.431,E,38.164,N,141.43,38.16
141.431,E,38.318,N,141.43,38.32
141.433,E,38.233,N,141.43,38.23
141.435,E,38.166,N,141.44,38.17
141.446,E,37.942,N,141.45,37.94
141.448,E,37.945,N,141.45,37.95
141.45,E,37.42,N,141.45,37.42
141.455,E,30.037,N,141.46,30.04
141.48,E,32.903,N,141.48,32.9
141.483,E,36.5,N,141.48,36.5
141.483,E,36.017,N,141.48,36.02
141.483,E,35.983,N,141.48,35.98
141.483,E,40.833,N,141.48,40.83
141.483,E,36.65,N,141.48,36.65
141.492,E,35.7,N,141.49,35.7
141.493,E,36.309,N,141.49,36.31
141.493,E,36.567,N,141.49,36.57
141.493,E,36,N,141.49,36
141.497,E,29,N,141.5,29
141.498,E,31.998,N,141.5,32
141.5,E,37,N,141.5,37
141.5,E,37.983,N,141.5,37.98
141.5,E,35.017,N,141.5,35.02
141.5,E,37.5,N,141.5,37.5
141.5,E,38,N,141.5,38
141.5,E,35.483,N,141.5,35.48
141.5,E,37.4,N,141.5,37.4
141.5,E,40.833,N,141.5,40.83
141.5,E,36.57,N,141.5,36.57
141.5,E,35.7,N,141.5,35.7
141.5,E,36,N,141.5,36
141.5,E,36.32,N,141.5,36.32
141.502,E,37.042,N,141.5,37.04
141.508,E,33.983,N,141.51,33.98
141.515,E,38.164,N,141.51,38.16
141.517,E,36.017,N,141.52,36.02
141.517,E,36.483,N,141.52,36.48
141.533,E,38.233,N,141.53,38.23
141.543,E,40.787,N,141.54,40.79
141.547,E,40.801,N,141.55,40.8
141.55,E,35.517,N,141.55,35.52
141.552,E,40.601,N,141.55,40.6
141.554,E,37.588,N,141.55,37.59
141.565,E,40.618,N,141.56,40.62
141.567,E,38.542,N,141.57,38.54
141.567,E,38.417,N,141.57,38.42
141.567,E,38.333,N,141.57,38.33
141.58,E,41.43,N,141.58,41.43
141.58,E,37.25,N,141.58,37.25
141.58,E,37.5,N,141.58,37.5
141.58,E,37.49,N,141.58,37.49
141.581,E,40.666,N,141.58,40.67
141.583,E,36.443,N,141.58,36.44
