X1,Latitude,Longitude,Network Name
332,24.07,-164.11,Cetacean Research Program
333,23.93,-163.96,Cetacean Research Program
334,23.93,-163.18,Cetacean Research Program
335,23.74,-163.02,Cetacean Research Program
336,23.67,-162.79,Cetacean Research Program
337,24.72,-163.64,Cetacean Research Program
338,24.85,-163.96,Cetacean Research Program
339,24.85,-164.42,Cetacean Research Program
340,25.11,-164.81,Cetacean Research Program
341,24.26,-161.78,Cetacean Research Program
342,24.26,-161.23,Cetacean Research Program
343,24,-160.84,Cetacean Research Program
344,22.89,-159.6,Cetacean Research Program
345,23.09,-160.45,Cetacean Research Program
346,23.22,-160.92,Cetacean Research Program
347,21.91,-158.74,Cetacean Research Program
348,22.11,-159.36,Cetacean Research Program
349,22.17,-159.91,Cetacean Research Program
350,22.24,-160.3,Cetacean Research Program
351,22.37,-160.69,Cetacean Research Program
352,21.91,-160.92,Cetacean Research Program
353,21.78,-160.45,Cetacean Research Program
354,21.59,-159.91,Cetacean Research Program
355,21.46,-159.28,Cetacean Research Program
356,21.26,-158.58,Cetacean Research Program
357,21.13,-158.27,Cetacean Research Program
358,21,-157.65,Cetacean Research Program
359,20.15,-157.18,Cetacean Research Program
360,20.15,-157.65,Cetacean Research Program
361,20.22,-158.19,Cetacean Research Program
362,20.41,-158.5,Cetacean Research Program
363,20.54,-158.82,Cetacean Research Program
364,20.61,-159.05,Cetacean Research Program
365,20.74,-159.91,Cetacean Research Program
366,20.93,-160.53,Cetacean Research Program
367,20.93,-160.76,Cetacean Research Program
368,21.07,-160.92,Cetacean Research Program
369,19.76,-158.43,Cetacean Research Program
370,19.76,-158.82,Cetacean Research Program
371,19.96,-159.36,Cetacean Research Program
372,20.02,-159.98,Cetacean Research Program
373,20.22,-160.84,Cetacean Research Program
375,21.52,-162.87,Cetacean Research Program
376,21.59,-163.64,Cetacean Research Program
377,21.33,-164.58,Cetacean Research Program
378,21.13,-164.11,Cetacean Research Program
379,21,-163.64,Cetacean Research Program
380,20.93,-163.57,Cetacean Research Program
381,20.8,-163.1,Cetacean Research Program
382,20.02,-162.79,Cetacean Research Program
383,20.09,-163.26,Cetacean Research Program
384,20.28,-163.64,Cetacean Research Program
385,20.28,-163.8,Cetacean Research Program
386,20.48,-164.27,Cetacean Research Program
387,19.57,-164.11,Cetacean Research Program
388,19.83,-164.42,Cetacean Research Program
389,19.83,-164.74,Cetacean Research Program
390,19.89,-164.97,Cetacean Research Program
391,20.02,-165.28,Cetacean Research Program
392,18.46,-162.79,Cetacean Research Program
393,18.46,-162.4,Cetacean Research Program
394,18.33,-162.01,Cetacean Research Program
395,17.41,-161.07,Cetacean Research Program
396,17.54,-161.54,Cetacean Research Program
398,17.54,-162.17,Cetacean Research Program
399,18.13,-161.23,Cetacean Research Program
400,17.93,-160.84,Cetacean Research Program
401,17.8,-160.37,Cetacean Research Program
402,17.61,-159.91,Cetacean Research Program
403,19.17,-159.21,Cetacean Research Program
404,19.17,-159.75,Cetacean Research Program
405,19.37,-160.3,Cetacean Research Program
406,19.43,-160.92,Cetacean Research Program
407,19.5,-161.39,Cetacean Research Program
408,19.63,-158.43,Cetacean Research Program
409,19.7,-159.05,Cetacean Research Program
411,20.22,-161.15,Cetacean Research Program
412,18.91,-157.73,Cetacean Research Program
413,18.78,-157.02,Cetacean Research Program
414,18.52,-156.09,Cetacean Research Program
415,18.39,-155.93,Cetacean Research Program
416,17.61,-156.09,Cetacean Research Program
417,17.74,-156.87,Cetacean Research Program
418,18,-158.35,Cetacean Research Program
419,18.39,-159.52,Cetacean Research Program
420,17.93,-160.45,Cetacean Research Program
421,18.07,-161.23,Cetacean Research Program
422,17.48,-162.09,Cetacean Research Program
423,17.35,-161.39,Cetacean Research Program
424,16.11,-158.43,Cetacean Research Program
425,15.78,-157.8,Cetacean Research Program
426,15.72,-157.34,Cetacean Research Program
427,16.83,-158.89,Cetacean Research Program
428,15.07,-157.49,Cetacean Research Program
429,14.8,-156.79,Cetacean Research Program
430,14.67,-155.93,Cetacean Research Program
431,15.26,-155.55,Cetacean Research Program
432,15.07,-154.84,Cetacean Research Program
433,15,-154.14,Cetacean Research Program
434,15.91,-154.69,Cetacean Research Program
435,15.78,-154.22,Cetacean Research Program
436,15.59,-153.83,Cetacean Research Program
437,15.46,-153.83,Cetacean Research Program
438,16.11,-152.66,Cetacean Research Program
439,16.17,-153.05,Cetacean Research Program
440,16.17,-153.52,Cetacean Research Program
441,16.37,-154.07,Cetacean Research Program
442,16.57,-154.38,Cetacean Research Program
443,17.09,-153.52,Cetacean Research Program
444,17.02,-152.98,Cetacean Research Program
445,16.96,-152.59,Cetacean Research Program
446,16.83,-152.27,Cetacean Research Program
447,17.48,-152.04,Cetacean Research Program
448,17.61,-152.66,Cetacean Research Program
449,17.67,-152.9,Cetacean Research Program
450,17.74,-153.36,Cetacean Research Program
451,17.93,-154.14,Cetacean Research Program
452,18.07,-154.61,Cetacean Research Program
453,18.07,-154.92,Cetacean Research Program
454,19.11,-155.93,Cetacean Research Program
455,18.98,-155.31,Cetacean Research Program
456,18.78,-154.69,Cetacean Research Program
457,18.65,-153.75,Cetacean Research Program
458,18.46,-152.9,Cetacean Research Program
459,18.39,-152.2,Cetacean Research Program
460,18.91,-151.81,Cetacean Research Program
461,19.37,-153.05,Cetacean Research Program
462,19.37,-153.44,Cetacean Research Program
463,19.17,-152.35,Cetacean Research Program
464,19.89,-152.35,Cetacean Research Program
465,19.89,-152.82,Cetacean Research Program
466,20.02,-153.52,Cetacean Research Program
467,20.67,-153.29,Cetacean Research Program
468,20.8,-153.91,Cetacean Research Program
469,20.87,-154.38,Cetacean Research Program
470,21.98,-155.16,Cetacean Research Program
471,21.72,-154.38,Cetacean Research Program
472,14.54,-155.86,Cetacean Research Program
473,14.87,-157.1,Cetacean Research Program
474,14.67,-156.48,Cetacean Research Program
475,17.48,-161.62,Cetacean Research Program
476,17.67,-162.24,Cetacean Research Program
477,18.46,-162.55,Cetacean Research Program
478,18.52,-162.94,Cetacean Research Program
479,19.76,-164.35,Cetacean Research Program
480,19.43,-166.21,Cetacean Research Program
481,19.83,-167.31,Cetacean Research Program
482,21.13,-169.56,Cetacean Research Program
483,21.59,-163.33,Cetacean Research Program
484,21.59,-163.72,Cetacean Research Program
486,22.5,-166.14,Cetacean Research Program
488,22.83,-162.17,Cetacean Research Program
489,23.02,-162.55,Cetacean Research Program
490,23.15,-163.18,Cetacean Research Program
491,23.22,-163.57,Cetacean Research Program
492,23.67,-165.2,Cetacean Research Program
493,23.8,-165.75,Cetacean Research Program
494,24,-166.45,Cetacean Research Program
495,22.89,-165.12,Cetacean Research Program
496,23.93,-166.06,Cetacean Research Program
497,23.67,-165.51,Cetacean Research Program
498,23.28,-163.64,Cetacean Research Program
499,22.96,-163.1,Cetacean Research Program
500,22.89,-162.71,Cetacean Research Program
501,22.83,-162.32,Cetacean Research Program
502,21.72,-165.67,Cetacean Research Program
503,21.78,-166.29,Cetacean Research Program
504,22.5,-166.29,Cetacean Research Program
505,22.37,-165.98,Cetacean Research Program
506,21.39,-164.89,Cetacean Research Program
507,21.2,-164.35,Cetacean Research Program
508,20.8,-163.33,Cetacean Research Program
509,21.52,-163.02,Cetacean Research Program
511,17.48,-158.5,Cetacean Research Program
512,17.35,-158.12,Cetacean Research Program
513,17.15,-157.73,Cetacean Research Program
514,17.93,-158.19,Cetacean Research Program
515,18.13,-158.58,Cetacean Research Program
516,18.26,-159.28,Cetacean Research Program
517,18.26,-159.52,Cetacean Research Program
518,16.37,-157.02,Cetacean Research Program
519,16.17,-156.87,Cetacean Research Program
520,16.11,-156.4,Cetacean Research Program
521,16.96,-156.48,Cetacean Research Program
522,16.76,-155.86,Cetacean Research Program
523,16.63,-155.62,Cetacean Research Program
524,16.5,-155,Cetacean Research Program
525,17.8,-153.91,Cetacean Research Program
526,17.93,-154.45,Cetacean Research Program
527,18.07,-154.77,Cetacean Research Program
528,18.78,-154.45,Cetacean Research Program
530,18.85,-155.23,Cetacean Research Program
531,18.98,-155.55,Cetacean Research Program
532,18.98,-155.7,Cetacean Research Program
533,19.76,-155.93,Cetacean Research Program
534,19.7,-155.39,Cetacean Research Program
535,19.63,-155,Cetacean Research Program
536,19.57,-154.69,Cetacean Research Program
537,19.43,-154.38,Cetacean Research Program
538,20.54,-154.92,Cetacean Research Program
539,20.28,-155.16,Cetacean Research Program
540,20.54,-155.86,Cetacean Research Program
541,20.61,-156.32,Cetacean Research Program
542,20.67,-156.56,Cetacean Research Program
543,21.26,-156.09,Cetacean Research Program
544,21.46,-156.48,Cetacean Research Program
545,21.39,-156.95,Cetacean Research Program
546,21.52,-157.49,Cetacean Research Program
547,20.93,-154.45,Cetacean Research Program
548,20.87,-153.91,Cetacean Research Program
549,20.61,-153.21,Cetacean Research Program
550,21.65,-154.38,Cetacean Research Program
551,21.72,-154.84,Cetacean Research Program
552,21.78,-155.31,Cetacean Research Program
553,16.63,-155.08,Cetacean Research Program
554,16.76,-155.78,Cetacean Research Program
555,16.83,-156.25,Cetacean Research Program
556,16.24,-156.4,Cetacean Research Program
557,16.3,-156.87,Cetacean Research Program
558,16.43,-157.18,Cetacean Research Program
559,21.33,-162.32,Cetacean Research Program
560,21.46,-162.63,Cetacean Research Program
562,19.63,-164.19,Cetacean Research Program
563,19.83,-164.58,Cetacean Research Program
564,19.96,-164.89,Cetacean Research Program
565,19.04,-162.09,Cetacean Research Program
566,18.85,-161.62,Cetacean Research Program
567,18.72,-161.15,Cetacean Research Program
