Latitude_org,"N,S",Longitude_org,"E,W",Latitude,Longitude
34.967,N,145.067,E,34.97,145.07
34.967,N,146,E,34.97,146
34.967,N,149.017,E,34.97,149.02
34.967,N,153.267,E,34.97,153.27
34.967,N,158.517,E,34.97,158.52
34.967,N,177.328,E,34.97,177.33
34.97,N,165.01,E,34.97,165.01
34.983,N,142.783,E,34.98,142.78
34.983,N,143.55,E,34.98,143.55
34.983,N,144.317,E,34.98,144.32
34.983,N,145,E,34.98,145
34.983,N,145.05,E,34.98,145.05
34.983,N,145.467,E,34.98,145.47
34.983,N,145.5,E,34.98,145.5
34.983,N,145.517,E,34.98,145.52
34.983,N,145.533,E,34.98,145.53
34.983,N,146,E,34.98,146
34.983,N,146.017,E,34.98,146.02
34.983,N,146.033,E,34.98,146.03
34.983,N,148.967,E,34.98,148.97
34.983,N,149.533,E,34.98,149.53
34.983,N,152.517,E,34.98,152.52
34.99,N,160,E,34.99,160
34.997,N,175.012,E,35,175.01
34.999,N,130.504,E,35,130.5
34.999,N,131.251,E,35,131.25
35,NA,144.217,E,35,144.22
35,NA,150.007,E,35,150.01
35,N,131.998,E,35,132
35,N,142.033,E,35,142.03
35,N,145,E,35,145
35,N,145.017,E,35,145.02
35,N,145.033,E,35,145.03
35,N,145.183,E,35,145.18
35,N,145.35,E,35,145.35
35,N,145.45,E,35,145.45
35,N,145.833,E,35,145.83
35,N,145.917,E,35,145.92
35,N,145.95,E,35,145.95
35,N,146,E,35,146
35,N,146.017,E,35,146.02
35,N,146.217,E,35,146.22
35,N,146.467,E,35,146.47
35,N,146.967,E,35,146.97
35,N,147,E,35,147
35,N,147.983,E,35,147.98
35,N,148.75,E,35,148.75
35,N,148.833,E,35,148.83
35,N,150.283,E,35,150.28
35,N,151.75,E,35,151.75
35,N,155,E,35,155
35,N,157.017,E,35,157.02
35,N,157.8,E,35,157.8
35,N,166,E,35,166
35,N,170,E,35,170
35,N,175.5,E,35,175.5
35.001,N,129.75,E,35,129.75
35.002,NA,160.002,E,35,160
35.002,N,132.043,E,35,132.04
35.00335,N,134.59716,E,35,134.6
35.008,N,175.008,E,35.01,175.01
35.009,N,129.735,E,35.01,129.74
35.01,N,154.993,E,35.01,154.99
35.013,N,132.005,E,35.01,132
35.017,N,130.133,E,35.02,130.13
35.017,N,140.867,E,35.02,140.87
35.017,N,141.5,E,35.02,141.5
35.017,N,145.95,E,35.02,145.95
35.017,N,146.017,E,35.02,146.02
35.017,N,146.967,E,35.02,146.97
35.017,N,148.017,E,35.02,148.02
35.017,N,148.967,E,35.02,148.97
35.017,N,151.017,E,35.02,151.02
35.017,N,156.25,E,35.02,156.25
35.02,N,130.499,E,35.02,130.5
35.033,N,145.383,E,35.03,145.38
35.033,N,145.417,E,35.03,145.42
35.033,N,146,E,35.03,146
35.033,N,146.05,E,35.03,146.05
35.04,N,179.16,E,35.04,179.16
35.05,N,140.15,E,35.05,140.15
35.05,N,146.983,E,35.05,146.98
35.05,N,147,E,35.05,147
35.08,N,154.99,E,35.08,154.99
35.083,N,147.017,E,35.08,147.02
35.14,N,153.99,E,35.14,153.99
35.1433,N,131.679,E,35.14,131.68
35.15,N,132.333,E,35.15,132.33
35.15,N,140.667,E,35.15,140.67
35.16,N,153.44,E,35.16,153.44
35.183,N,147.833,E,35.18,147.83
35.19,N,154.86,E,35.19,154.86
35.2,NA,162.03,E,35.2,162.03
35.21,N,152.98,E,35.21,152.98
35.233,N,146.483,E,35.23,146.48
35.233,N,147.2,E,35.23,147.2
35.25,N,140.48,E,35.25,140.48
35.26,N,145.25,E,35.26,145.25
35.26,N,159.99,E,35.26,159.99
35.28,N,141.02,E,35.28,141.02
35.3,N,141.585,E,35.3,141.59
35.317,N,146.033,E,35.32,146.03
35.33,N,131.67,E,35.33,131.67
35.33,N,132.33,E,35.33,132.33
35.33,N,141.4,E,35.33,141.4
35.33,N,155.14,E,35.33,155.14
35.333,N,131.25,E,35.33,131.25
35.333,N,145,E,35.33,145
35.333,N,145.5,E,35.33,145.5
35.333,N,146,E,35.33,146
35.36,N,154.99,E,35.36,154.99
35.367,N,146.05,E,35.37,146.05
35.3728,N,131.386,E,35.37,131.39
35.38,N,140.87,E,35.38,140.87
35.38,N,141.33,E,35.38,141.33
35.383,N,145.767,E,35.38,145.77
35.398,N,130.532,E,35.4,130.53
35.4,N,159.1,E,35.4,159.1
35.41,N,154.49,E,35.41,154.49
35.417,N,130.499,E,35.42,130.5
35.433,N,145.95,E,35.43,145.95
35.433,N,146.017,E,35.43,146.02
35.45,N,145.967,E,35.45,145.97
35.45,N,146.05,E,35.45,146.05
35.45,N,146.4,E,35.45,146.4
35.45,N,146.94,E,35.45,146.94
35.45,N,155.4,E,35.45,155.4
35.467,N,146.533,E,35.47,146.53
35.467,N,148.95,E,35.47,148.95
35.483,N,141.5,E,35.48,141.5
35.483,N,142.767,E,35.48,142.77
35.483,N,143.517,E,35.48,143.52
35.483,N,145,E,35.48,145
35.483,N,145.033,E,35.48,145.03
